Subject,Department,OA Material,Paper Type,Date,Unique Identifier,Source
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Archival Record,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Webpage,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Archival Record,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Archival Record,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Webpage,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
Performance Art,Art History and Architecture,Article,Graduate Thesis,2015,AHA_CP_2015,Museum of Modern Art
DEI in Art,Art History and Architecture,Archival Record,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
U.S. History,History,Image,Dissertation,2018,H_SL_2018,Museum of the City of New York
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_AZ_2015,museum-asbach.edu
European History,History,Image,Graduate Thesis,2017,H_ML_2017,Muzeumi Nemzeti Galeria
Japanese History,History,Image,Dissertation,2014,H_TG_2014,National Archives of Japan Digital Archive
Japanese History,History,Image,Dissertation,2014,H_TG_2014,National Diet Library Digital Collections
European History,History,Image,Graduate Thesis,2017,H_ML_2017,National Gallery of Art
Greco-Roman Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_KG_2016,National Gallery of Art
Japanese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_AP_2016,National Museum of Asian Art
Japanese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_AP_2016,National Museum of Asian Art
Italian Art,Art History and Architecture,Image,Graduate Thesis,2018,AHA_CP_2018,New Liturgical Movement
Japanese History,History,Webpage,Graduate Thesis,2015,H_EC_2015,New World Encyclopedia
DEI in Art,Art History and Architecture,Magazine Article,Graduate Thesis,2020,AHA_SS_2020,New York Magazine
U.S. History,History,Image,Dissertation,2018,H_SL_2018,New York Public Library Digital Collections
Film,Art History and Architecture,Article,Graduate Thesis,2019,AHA_LZ_2019,New York Times
Art Organizations,Art History and Architecture,Webpage,Graduate Thesis,2020,AHA_CS_2020,nodaplarchive.com
U.S. History,History,Webpage,Graduate Thesis,2018,H_LG_2018,North Carolina Central University
Street Art,Art History and Architecture,Image,Graduate Thesis,2017,AHA_MM_2017,noticias24.com
DEI in Art,Art History and Architecture,Article,Graduate Thesis,2020,AHA_SS_2020,NPR
Film,Art History and Architecture,Article,Graduate Thesis,2019,AHA_LZ_2019,NPR
Earthworks,Art History and Architecture,Webpage,Graduate Thesis,2019,AHA_CC_2019,Obama White House Archives
European History,History,Article,Graduate Thesis,2017,H_MJR_2017,Odysseo Digital Archive
Japanese American History,History,Audio,Graduate Thesis,2019,H_OW_2019,Online Archive of California
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CH_2015,Oregon Digital
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CH_2015,Oregon Digital
Lesbian History,History,Image,Graduate Thesis,2014,H_SG_2014,Oregon Digital
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CH_2015,Oregon Digital
Japanese History,History,Image,Graduate Thesis,2013,H_BG_2013,Oregon Digital
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CH_2015,Oregon Digital
Oregon History,History,Webpage,Graduate Thesis,2020,H_AP_2020,Oregon Secretary of State
U.S. History,History,Webpage,Dissertation,2018,H_SL_2018,Oregon State University
Islamic Art,Art History and Architecture,OA Journal Article,Graduate Thesis,2018,AHA_MA_2018,Osgoode Digital Commons
Elizabethan Attire,Art History and Architecture,Encyclopedia Entry,Graduate Thesis,2014,AHA_JN_2014,Oxford Dictionary of National Biography
Environmental History,History,Webpage,Dissertation,2017,H_MM_2017,Oxford Dictionary of National Biography
Elizabethan Attire,Art History and Architecture,Encyclopedia Entry,Graduate Thesis,2014,AHA_JN_2014,Oxford Dictionary of National Biography
U.S. History,History,Webpage,Dissertation,2018,H_SL_2018,Oxford English Dictionary
Argentinian Art,Art History and Architecture,Article,Graduate Thesis,2019,AHA_LM_2019,Pagina 12
Argentinian Art,Art History and Architecture,Article,Graduate Thesis,2019,AHA_LM_2019,Pagina 12
Argentinian Art,Art History and Architecture,Article,Graduate Thesis,2019,AHA_LM_2019,Pagina 12
Street Art,Art History and Architecture,Image,Graduate Thesis,2017,AHA_MM_2017,Palestine Poster Project
Argentinian Art,Art History and Architecture,Article,Graduate Thesis,2019,AHA_LM_2019,Papelitos
Argentinian Art,Art History and Architecture,Article,Graduate Thesis,2019,AHA_LM_2019,Papelitos
Argentinian Art,Art History and Architecture,Article,Graduate Thesis,2019,AHA_LM_2019,Papelitos
Argentinian Art,Art History and Architecture,Article,Graduate Thesis,2019,AHA_LM_2019,Papelitos
Argentinian Art,Art History and Architecture,Article,Graduate Thesis,2019,AHA_LM_2019,Papelitos
Art Organizations,Art History and Architecture,Webpage,Graduate Thesis,2020,AHA_CS_2020,parafin.co.uk
U.S. History,History,Video,Graduate Thesis,2014,H_CS_2014,PBS
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_SD_2015,phaidon.com
Hellenistic Art in Japanese Video Games,Art History and Architecture,Image,Graduate Thesis,2021,AHA_ZC_2021,Pictures From Italy
Performance Art,Art History and Architecture,Video Game,Graduate Thesis,2015,AHA_CP_2015,pippinbarr.com
Performance Art,Art History and Architecture,Video Game,Graduate Thesis,2015,AHA_CP_2015,pippinbarr.com
Performance Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CP_2015,Plataforma de Arte Contemporaneo
Environmental History,History,Webpage,Dissertation,2017,H_MM_2017,pnwumc.org
Street Art,Art History and Architecture,Image,Graduate Thesis,2017,AHA_MM_2017,poieinkaiprattein.org
Street Art,Art History and Architecture,Image,Graduate Thesis,2017,AHA_MM_2017,popaganda.com
European Architecture,Art History and Architecture,Transcript,Graduate Thesis,2015,AHA_MK_2015,Princeofwales.gov.uk
Azeri History,History,Interactive Book,Dissertation,2020,H_RH_2020,Princeton University Digital Library
Art Organizations,Art History and Architecture,OA Journal Article,Graduate Thesis,2020,AHA_CS_2020,Proceedings of the National Academy of Science
Culinary History,History,Book,Graduate Thesis,2019,H_JF_2019,Project Gutenberg
European Architecture,Art History and Architecture,Image,Graduate Thesis,2015,AHA_MK_2015,Random House
Art Organizations,Art History and Architecture,Webpage,Graduate Thesis,2020,AHA_CS_2020,Reartist.org
Art Organizations,Art History and Architecture,Webpage,Graduate Thesis,2020,AHA_CS_2020,rebeccasexton.net
Japanese Architecture,Art History and Architecture,Image,Graduate Thesis,2019,AHA_ZL_2019,Research Institute for Japanese Traditional Music
Japanese Architecture,Art History and Architecture,Webpage,Graduate Thesis,2019,AHA_ZL_2019,Research Institute for Japanese Traditional Music
Japanese Architecture,Art History and Architecture,Webpage,Graduate Thesis,2019,AHA_ZL_2019,Research Institute for Japanese Traditional Music
Hellenistic Art in Japanese Video Games,Art History and Architecture,Image,Graduate Thesis,2021,AHA_ZC_2021,Retrogaming History
Latin American Art,Art History and Architecture,Article,Graduate Thesis,2020,AHA_LM_2020,Reuters
Earthworks,Art History and Architecture,Image,Graduate Thesis,2019,AHA_CC_2019,rodencrater.com
Earthworks,Art History and Architecture,Image,Graduate Thesis,2019,AHA_CC_2019,rodencrater.com
Street Art,Art History and Architecture,Image,Graduate Thesis,2017,AHA_MM_2017,Rolling Stone
Street Art,Art History and Architecture,Webpage,Graduate Thesis,2017,AHA_MM_2017,Ron English's Propaganda
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_CS_2016,Royal Collection
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_SD_2015,saatchigallery.com
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_SD_2015,saatchigallery.com
Japanese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_AP_2016,San Diego Museum of Art
European History,History,Image,Graduate Thesis,2017,H_ML_2017,Scala Archives
Performance Art,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_CP_2015,Sean Kelly Gallery
Performance Art,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_CP_2015,Sean Kelly Gallery
Performance Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2015,AHA_CP_2015,Serpentine Galleries
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CH_2015,sfmoma.org
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CH_2015,sfmoma.org
Contemporary Art,Art History and Architecture,Video,Graduate Thesis,2015,AHA_CH_2015,sfmoma.org
Contemporary Art,Art History and Architecture,Video,Graduate Thesis,2015,AHA_CH_2015,sfmoma.org
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CH_2015,sfmoma.org
Earthworks,Art History and Architecture,Image,Graduate Thesis,2019,AHA_CC_2019,shiftingconnections.com
Art Organizations,Art History and Architecture,Webpage,Graduate Thesis,2020,AHA_CS_2020,Signal Fire Arts
Art Organizations,Art History and Architecture,Webpage,Graduate Thesis,2020,AHA_CS_2020,Signal Fire Arts
Art Organizations,Art History and Architecture,Webpage,Graduate Thesis,2020,AHA_CS_2020,Signal Fire Arts
Art Organizations,Art History and Architecture,Webpage,Graduate Thesis,2020,AHA_CS_2020,Signal Fire Arts
Argentinian Art,Art History and Architecture,Article,Graduate Thesis,2019,AHA_LM_2019,Sinpermiso
Environmental History,History,Webpage,Dissertation,2017,H_MM_2017,Slate
Earthworks,Art History and Architecture,Transcript,Graduate Thesis,2019,AHA_CC_2019,Smithsonian
Japanese Architecture,Art History and Architecture,Image,Graduate Thesis,2019,AHA_ZL_2019,sonic.net
Contemporary Art,Art History and Architecture,Audio,Graduate Thesis,2015,AHA_CH_2015,Soundcloud
European Art,Art History and Architecture,Webpage,Graduate Thesis,2016,AHA_SM_2016,Speaking Objects
Earthworks,Art History and Architecture,Image,Graduate Thesis,2019,AHA_CC_2019,staraxis.org
Earthworks,Art History and Architecture,Image,Graduate Thesis,2019,AHA_CC_2019,staraxis.org
Japanese History,History,Statistics Data,Graduate Thesis,2015,H_EC_2015,Statistics Japan
Street Art,Art History and Architecture,Article,Graduate Thesis,2017,AHA_MM_2017,Street Art News
French Art,Art History and Architecture,OA Journal Article,Graduate Thesis,2016,AHA_CB_2016,Syria
Environmental History,History,Statistics Data,Dissertation,2017,H_MM_2017,Tacitus.nu
Argentinian Art,Art History and Architecture,Blog Post,Graduate Thesis,2019,AHA_LM_2019,Tamtampress
Islamic Art,Art History and Architecture,Image,Graduate Thesis,2018,AHA_MA_2018,Tate.org.uk
European Architecture,Art History and Architecture,Image,Graduate Thesis,2015,AHA_MK_2015,Tate.org.uk
European Architecture,Art History and Architecture,Image,Graduate Thesis,2015,AHA_MK_2015,Tate.org.uk
European Architecture,Art History and Architecture,Image,Graduate Thesis,2015,AHA_MK_2015,Tate.org.uk
European Architecture,Art History and Architecture,Image,Graduate Thesis,2015,AHA_MK_2015,Tate.org.uk
Performance Art,Art History and Architecture,Article,Graduate Thesis,2015,AHA_CP_2015,TED
DEI in Art,Art History and Architecture,Webpage,Graduate Thesis,2020,AHA_SS_2020,The African Center
Japanese History,History,Webpage,Graduate Thesis,2015,H_EC_2015,The Asian-Pacific Journal: Japan Focus
Oregon History,History,Webpage,Graduate Thesis,2020,H_AP_2020,The Atlantic
U.S. History,History,Webpage,Graduate Thesis,2018,H_LG_2018,The Atlantic
Performance Art,Art History and Architecture,Article,Graduate Thesis,2015,AHA_CP_2015,The Atlantic
Art Organizations,Art History and Architecture,Webpage,Graduate Thesis,2020,AHA_CS_2020,The Center for Land Use Interpretation
U.S. History,History,Webpage,Graduate Thesis,2018,H_LG_2018,The Chicago Tribune
Street Art,Art History and Architecture,Article,Graduate Thesis,2017,AHA_MM_2017,The Daily Best
Street Art,Art History and Architecture,Image,Graduate Thesis,2017,AHA_MM_2017,The Daily Best
Argentinian Art,Art History and Architecture,Webpage,Graduate Thesis,2019,AHA_LM_2019,The Disappeared Project
European Architecture,Art History and Architecture,Article,Graduate Thesis,2015,AHA_MK_2015,The Guardian
Street Art,Art History and Architecture,Article,Graduate Thesis,2017,AHA_MM_2017,The Guardian
European Architecture,Art History and Architecture,Article,Graduate Thesis,2015,AHA_MK_2015,The Guardian
Performance Art,Art History and Architecture,Article,Graduate Thesis,2015,AHA_CP_2015,The Guardian
Performance Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CP_2015,The Guardian
U.S. History,History,Webpage,Dissertation,2018,H_SL_2018,The Guardian
Earthworks,Art History and Architecture,Webpage,Graduate Thesis,2019,AHA_CC_2019,The Guardian
European Architecture,Art History and Architecture,Article,Graduate Thesis,2015,AHA_MK_2015,The Guardian
Performance Art,Art History and Architecture,Article,Graduate Thesis,2015,AHA_CP_2015,The Guardian
European Architecture,Art History and Architecture,Article,Graduate Thesis,2015,AHA_MK_2015,The Guardian
European Architecture,Art History and Architecture,Article,Graduate Thesis,2015,AHA_MK_2015,The Guardian
European Architecture,Art History and Architecture,Blog Post,Graduate Thesis,2015,AHA_MK_2015,The Guardian
LGBTQ+ Art,Art History and Architecture,Webpage,Graduate Thesis,2019,AHA_LA_2019,The Guardian
European Architecture,Art History and Architecture,Article,Graduate Thesis,2015,AHA_MK_2015,The Guardian
European Architecture,Art History and Architecture,Image,Graduate Thesis,2015,AHA_MK_2015,The Guardian
European Architecture,Art History and Architecture,Article,Graduate Thesis,2015,AHA_MK_2015,The Guardian
European Architecture,Art History and Architecture,Blog Post,Graduate Thesis,2015,AHA_MK_2015,The Guardian
European Architecture,Art History and Architecture,Article,Graduate Thesis,2015,AHA_MK_2015,The Guardian
Japanese History,History,Webpage,Dissertation,2014,H_TG_2014,The Korean Herald
Hellenistic Art in Japanese Video Games,Art History and Architecture,Webpage,Graduate Thesis,2021,AHA_ZC_2021,The Louvre
Japanese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_AP_2016,The Metropolitan Museum of Art
Ancient Roman Art,Art History and Architecture,Essay,Graduate Thesis,2018,AHA_LM_2018,The Metropolitan Museum of Art
Japanese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_AP_2016,The Metropolitan Museum of Art
U.S. History,History,Interactive Book,Dissertation,2020,H_NF_2020,The New York Public Library Digital Collections
Earthworks,Art History and Architecture,Webpage,Graduate Thesis,2019,AHA_CC_2019,The New York Times
Earthworks,Art History and Architecture,Webpage,Graduate Thesis,2019,AHA_CC_2019,The New York Times
Contemporary Art,Art History and Architecture,Magazine Article,Graduate Thesis,2015,AHA_CH_2015,The New Yorker
Asian Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_SK_2016,The Nigata Prefectural Museum of Modern Art
Performance Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CP_2015,The Observer
Chinese Art,Art History and Architecture,Image,Graduate Thesis,2019,AHA_YC_2019,The Palace Museum
Islamic Art,Art History and Architecture,Blog Post,Graduate Thesis,2018,AHA_MA_2018,The Perception of Female Beauty in Art
Contemporary Art,Art History and Architecture,Video,Graduate Thesis,2015,AHA_CD_2015,The Pew Center for the Arts & Heritage
Islamic Art,Art History and Architecture,Webpage,Graduate Thesis,2018,AHA_MA_2018,The Photo Argus
Ancient Roman Art,Art History and Architecture,Magazine Article,Graduate Thesis,2018,AHA_LM_2018,The Root
French Art,Art History and Architecture,OA Journal Article,Graduate Thesis,2016,AHA_CB_2016,The Royal Society Publishing
Art Organizations,Art History and Architecture,Magazine Article,Graduate Thesis,2020,AHA_CS_2020,The Sun
U.S. History,History,Historic Document,Graduate Thesis,2014,H_CS_2014,The University of Nebraska
Elizabethan Attire,Art History and Architecture,Webpage,Graduate Thesis,2014,AHA_JN_2014,The Worshipful Company of Cutlers
Contemporary Art,Art History and Architecture,Blog Post,Graduate Thesis,2015,AHA_CD_2015,Theory Now
Street Art,Art History and Architecture,Image,Graduate Thesis,2017,AHA_MM_2017,therumpus.net
Earthworks,Art History and Architecture,Image,Graduate Thesis,2019,AHA_CC_2019,theverge.com
Asian Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_SK_2016,tobunken.go.jp
Asian Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_SK_2016,tobunken.go.jp
Asian Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_SK_2016,tobunken.go.jp
Asian Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_SK_2016,tobunken.go.jp
U.S. History,History,Webpage,Graduate Thesis,2018,H_LG_2018,Today.com
Japanese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_LS_2016,Tokyo National Museum
Japanese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_LS_2016,Tokyo National Museum
Japanese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_LS_2016,Tokyo National Museum
Japanese History,History,Image,Graduate Thesis,2013,H_BG_2013,Tokyo National Museum
Japanese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_LS_2016,Tokyo National Museum
European Architecture,Art History and Architecture,Article,Graduate Thesis,2015,AHA_MK_2015,Tower Hamlets
Chinese Art,Art History and Architecture,OA Journal Article,Graduate Thesis,2016,AHA_AM_2016,Trans Asia Photography Review
Art Organizations,Art History and Architecture,Webpage,Graduate Thesis,2020,AHA_CS_2020,TransArtists
Islamic Art,Art History and Architecture,OA Journal Article,Graduate Thesis,2018,AHA_MA_2018,Translation Journal
European Art,Art History and Architecture,Webpage,Graduate Thesis,2017,AHA_AA_2017,Traveling in Tuscany
U.S. History,History,Audio,Graduate Thesis,2014,H_CM_2014,Truman Library
Performance Art,Art History and Architecture,Blog Post,Graduate Thesis,2015,AHA_CP_2015,Turbulence.org
European Architecture,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_MK_2015,Twentieth Century Society
Oregon History,History,Social Media Post,Graduate Thesis,2020,H_AP_2020,Twitter
U.S. History,History,Webpage,Graduate Thesis,2014,H_CM_2014,UC Santa Barbara
European History,History,Image,Graduate Thesis,2017,H_ML_2017,UK National Portrait Gallery
European History,History,Image,Graduate Thesis,2017,H_ML_2017,UK National Portrait Gallery
Latin American Art,Art History and Architecture,Blog Post,Graduate Thesis,2020,AHA_LM_2020,Umass Boston Blog Network
U.S. History,History,Audio,Graduate Thesis,2019,H_IU_2019,umistapotlatch.ca
Chinese Architecture,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_LL_2015,Unesco
Chinese Architecture,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_LL_2015,Unesco
European Architecture,Art History and Architecture,Image,Graduate Thesis,2015,AHA_MK_2015,Unitedhousedevelopments.net
European History,History,Image,Graduate Thesis,2017,H_ML_2017,Universalmuseum Joanneum
Performance Art,Art History and Architecture,Blog Post,Graduate Thesis,2015,AHA_CP_2015,University of Chicago
U.S. History,History,Webpage,Graduate Thesis,2018,H_LG_2018,University of North Carolina at Chapel Hill Libraries
Latin American Art,Art History and Architecture,Video,Graduate Thesis,2020,AHA_LM_2020,University of Oregon
U.S. History,History,Image,Dissertation,2018,H_SL_2018,University of Texas Libraries
U.S. History,History,Image,Graduate Thesis,2019,H_IU_2019,University of Victoria Art Collection
Japanese American History,History,Archival Record,Graduate Thesis,2019,H_OW_2019,University of Washington Libraries
U.S. History,History,Historic Document,Graduate Thesis,2014,H_CS_2014,University of Wisconsin-Madison Libraries
European History,History,Image,Graduate Thesis,2017,H_ML_2017,Unknown
European Architecture,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_MK_2015,Urbansplash
Street Art,Art History and Architecture,Image,Graduate Thesis,2017,AHA_MM_2017,Vaughanjordan.wordpress.com
European Architecture,Art History and Architecture,Video,Graduate Thesis,2015,AHA_MK_2015,Vice
Chinese Art,Art History and Architecture,Article,Graduate Thesis,2016,AHA_AM_2016,Vice
European Art,Art History and Architecture,Webpage,Graduate Thesis,2017,AHA_AA_2017,Victoria and Albert Museum
Street Art,Art History and Architecture,Video,Graduate Thesis,2017,AHA_MM_2017,Vimeo
Performance Art,Art History and Architecture,Video,Graduate Thesis,2015,AHA_CP_2015,Vimeo
Performance Art,Art History and Architecture,Video,Graduate Thesis,2015,AHA_CP_2015,Vimeo
Performance Art,Art History and Architecture,Video,Graduate Thesis,2015,AHA_CP_2015,Vimeo
U.S. History,History,Webpage,Graduate Thesis,2018,H_LG_2018,Virginia Heritage
Street Art,Art History and Architecture,Image,Graduate Thesis,2017,AHA_MM_2017,Voice of San Diego
Street Art,Art History and Architecture,Audio,Graduate Thesis,2017,AHA_MM_2017,Vox
Contemporary Art,Art History and Architecture,Article,Graduate Thesis,2015,AHA_CH_2015,Walkerart.org
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CD_2015,Wayne State University Libraries
Chinese Art,Art History and Architecture,Blog Post,Graduate Thesis,2015,AHA_DJ_2015,Weekly Wanders
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CH_2015,Whitney Museum of American Art
Street Art,Art History and Architecture,Image,Graduate Thesis,2017,AHA_MM_2017,widewalls.ch
European History,History,Image,Graduate Thesis,2017,H_ML_2017,Wikimedia Commons
Azeri History,History,Image,Dissertation,2020,H_RH_2020,Wikimedia Commons
Hellenistic Art in Japanese Video Games,Art History and Architecture,Image,Graduate Thesis,2021,AHA_ZC_2021,Wikimedia Commons
European History,History,Image,Graduate Thesis,2017,H_ML_2017,Wikimedia Commons
Italian History,History,Image,Graduate Thesis,2017,H_ZB_2017,Wikimedia Commons
European Architecture,Art History and Architecture,Image,Graduate Thesis,2015,AHA_MK_2015,Wikimedia Commons
European History,History,Image,Graduate Thesis,2017,H_ML_2017,Wikimedia Commons
Russian History,History,Webpage,Graduate Thesis,2018,H_EB_2018,Wikimedia Commons
Indigenous History,History,Image,Dissertation,2019,H_JF_2019,World Digital Library
Hellenistic Art in Japanese Video Games,Art History and Architecture,Image,Graduate Thesis,2021,AHA_ZC_2021,World History Encyclopedia
Japanese History,History,Webpage,Graduate Thesis,2015,H_EC_2015,World War II Database
Chinese Art,Art History and Architecture,Webpage,Graduate Thesis,2016,AHA_AM_2016,Wunderman Thompson
Art Organizations,Art History and Architecture,Magazine Article,Graduate Thesis,2020,AHA_CS_2020,Yes! Magazine
Contemporary Art,Art History and Architecture,Video,Graduate Thesis,2015,AHA_CH_2015,YouTube
Contemporary Art,Art History and Architecture,Video,Graduate Thesis,2015,AHA_CD_2015,YouTube
Argentinian Art,Art History and Architecture,Video,Graduate Thesis,2019,AHA_LM_2019,YouTube
Earthworks,Art History and Architecture,Video,Graduate Thesis,2019,AHA_CC_2019,YouTube
Latin American Art,Art History and Architecture,Video,Graduate Thesis,2020,AHA_LM_2020,YouTube
Street Art,Art History and Architecture,Video,Graduate Thesis,2017,AHA_MM_2017,YouTube
Argentinian Art,Art History and Architecture,Video,Graduate Thesis,2019,AHA_LM_2019,YouTube
Contemporary Art,Art History and Architecture,Video,Graduate Thesis,2015,AHA_CH_2015,YouTube
Lesbian History,History,Video,Graduate Thesis,2014,H_SG_2014,YouTube
Contemporary Art,Art History and Architecture,Video,Graduate Thesis,2015,AHA_CH_2015,YouTube
Street Art,Art History and Architecture,Video,Graduate Thesis,2017,AHA_MM_2017,YouTube
Chinese Art,Art History and Architecture,Video,Graduate Thesis,2016,AHA_AM_2016,YouTube
Art Organizations,Art History and Architecture,Video,Graduate Thesis,2020,AHA_CS_2020,YouTube
Film,Art History and Architecture,Video,Graduate Thesis,2019,AHA_LZ_2019,YouTube
LGBTQ+ Art,Art History and Architecture,Video,Graduate Thesis,2019,AHA_LA_2019,YouTube
Performance Art,Art History and Architecture,Video,Graduate Thesis,2015,AHA_CP_2015,YouTube
Film,Art History and Architecture,Video,Graduate Thesis,2019,AHA_LZ_2019,YouTube
Anquarian Librarianship,Art History and Architecture,None,Graduate Thesis,2017,AHA_AG_2017,
Chinese Art,Art History and Architecture,None,Graduate Thesis,2017,AHA_KX_2017,
Chinese History,History,None,Graduate Thesis,2017,H_SH_2017,
Culinary History,History,None,Graduate Thesis,2015,H_BB_2015,
European Art,Art History and Architecture,None,Graduate Thesis,2016,AHA_AN_2016,
European History,History,None,Graduate Thesis,2014,H_NO_2014,
Illustration,Art History and Architecture,None,Graduate Thesis,2019,AHA_CH_2019,
Indigenous History,History,None,Graduate Thesis,2016,H_TK_2016,
Japanese History,History,None,Graduate Thesis,2016,H_IC_2016,
U.S. History,History,None,Dissertation,2014,H_NJ_2014,
U.S. History,History,None,Dissertation,2019,H_MW_2019,
Women's History,History,None,Dissertation,2013,H_CA_2013,
Women's History,History,None,Graduate Thesis,2014,H_RH_2014,
Women's History,History,None,Graduate Thesis,2017,H_HW_2017,
